Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
2,0.48672368415781764,0.09677419354839367,0.4770059749973967,0.0
9,0.9577611082953938,0.25,0.9245573754847349,0.0
1,1.2851686300106273,1.1452991452991519,0.5830508342678407,0.0
7,1.4846847456164691,0.7662337662337668,1.271681803498602,0.0
8,1.5684526288880418,1.5555555555555505,0.20072509221836832,0.0
4,1.8808570401982985,0.7000000000000242,1.7457443127971146,0.0
0,2.1593220974028497,1.830645161290338,1.1451682032681987,0.0
3,2.77023102525689,1.490000000000009,2.3353971682126815,0.0
6,2.9812745244195957,2.8709677419354858,0.8034562929737641,0.0
5,3.31527067510078,2.8020833333333197,1.7718207139095128,0.0
