Measurement,Baseline,Set_number_of_connections_to_2,Set_V_max_to_15,Set_UT_list_to_None_Set_weight_span_to_None_Set_num_components_to_None_Set_number_of_connections_to_2,Set_V_max_to_90,Set_K_to_30,Set_UT_list_to_None,Set_UT_list_to_None_Set_weight_span_to_None_Set_num_components_to_None_Set_number_of_connections_to_None,Set_C_max_to_None_Set_V_max_to_None_Set_lambd_to_None_Set_UT_list_to_None_Set_weight_span_to_None_Set_num_components_to_None_Set_number_of_connections_to_None,Set_sim_weeks_to_10,Set_weight_span_to_None,Set_lambd_to_0.01,Set_number_of_connections_to_10,Set_num_components_to_6,Set_C_max_to_10,Set_num_components_to_1,Set_sim_weeks_to_2,Set_number_of_connections_to_None,Set_C_max_to_60,Set_lambd_to_0.12,Set_K_to_100
R-squared,0.9819493721342742,0.965368967345334,0.9541242257169652,0.996941906263696,0.9755150017394753,0.9550434657439104,0.9997153628486648,0.9958100242121288,0.9868162329303752,0.9829807734110028,0.9997368024088296,0.986597370556726,0.958134067764968,0.9918780700167042,0.9861337457462508,0.9818278911724042,0.9771724258540928,0.9606855103875792,0.9866234215298152,0.9837693299820404,0.978327055907756
Adj. R-squared,0.9806122885886648,0.9628037056672106,0.950726020214518,0.9965890492941224,0.9737012981646216,0.951713352095311,0.9996825201004336,0.9953265654673746,0.9852950290377264,0.981720089959966,0.999717306290965,0.9856045831905575,0.95503288759941,0.990940924249401,0.9851066158015288,0.9804818090370268,0.9754814944358776,0.9577733259718444,0.985632563865357,0.9825670581288584,0.976721652641664
const_coef,0.0661878067349446,0.203710136513956,0.1534690594575251,0.551682118335631,-0.020877858300515,-0.0397424906583606,-0.0007840996919812,0.7483612495001201,0.2742819538129851,0.0421927695154999,0.0740111685697337,0.0698281709345291,0.0376226009906274,-1.248203080698571,0.0514914926004087,0.0297545010156756,0.0702795931934068,0.0335650687588349,0.1381982097167212,0.0623069000102795,0.1123282946552752
const_std_err,0.0711924900633843,0.0997509899466994,0.1373750927183278,0.3352439404165211,0.055004405079753,0.0772218653098934,0.100649521835265,0.3509184630394701,0.7905116059865008,0.0585789969395689,0.0564857618452785,0.0392292653144779,0.0758939621645898,0.4971235253754298,0.0522052061247394,0.0761185091500165,0.0651269759401444,0.0785766038380602,0.17042678198218,0.0504417839891702,0.0568736096526793
const_p>|t|,0.3607635384849318,0.051011595632758,0.2737715713110834,0.1118804513849572,0.7072359499512489,0.6109828152266199,0.9938436941728253,0.0425686770786095,0.7314083477943321,0.477547748477018,0.2011449373711419,0.0863341208492561,0.6240989252241969,0.0185947768934102,0.3327287773708091,0.6989408552101556,0.2900820295820632,0.6726474279919564,0.4245166043760027,0.2273881719256514,0.0585684435803705
Connections_diff_coef,0.8571638180706374,0.7686426389157547,0.7606644365206158,0.1567804813655788,0.7087048903456901,0.7484778100089718,0.365589752923269,-0.037087611894212,0.4383012151361175,0.5752193848082017,0.3443155028897041,0.585127297666609,0.647286565379932,0.4511658137122895,0.4849707921332492,0.6678507686436932,0.8338411644844151,0.8554208962099994,0.9099381151611045,0.6225158955015313,0.8379199591957499
Connections_diff_std_err,0.0247966499090094,0.0360523566986081,0.0470877883187349,0.0994499801690483,0.039056231386587,0.0376788795620059,0.0636164228361307,0.1387690679867921,0.1987471818050024,0.0334972873484122,0.057693013408797,0.0463264139550718,0.0519927439369729,0.2221792130037852,0.0678475916428694,0.0358614329405068,0.0304961709515461,0.0375135600703625,0.0205792390831114,0.0435786837658883,0.0269657981160245
Connections_diff_p>|t|,6.839877037809572e-24,2.002787541801354e-18,2.1113465081284158e-15,0.1270071857765403,1.1818079520952995e-16,1.2099909080983656e-17,4.74250244167247e-06,0.791376516406906,0.0364763780038207,4.671029211949936e-16,2.3015067711490863e-06,7.620470008247398e-13,1.064777309357271e-12,0.0526356245034516,1.0962203551183933e-07,6.163563510399838e-17,3.237273132449686e-21,3.575172531386023e-19,9.937498561342238e-27,4.1730067199032216e-14,1.1350450348003837e-22
Weight_diff_coef,0.580572546222595,0.6221361315481517,0.7510532127969716,0.9494993916807796,0.9209974357911952,0.8669236391062541,0.1753631387328167,0.5425658938742132,0.7390268519734067,0.8631127988874322,0.9773903410240856,0.8206127482665478,0.8642381934504789,0.894788162723786,0.9239121713158928,0.8357724693963378,0.6265207603728106,0.6395325714753172,0.51999529730471,0.8431427757953003,0.5798559529727862
Weight_diff_std_err,0.0492829453948557,0.0429455455964808,0.040724787080177,0.0106855125001762,0.0295073923757233,0.0540016146145572,0.0663841183899183,0.0367033020054319,0.0400917702841624,0.0269507208829615,0.0035906888102452,0.0245675362998926,0.0366178083669372,0.0226546039369974,0.0210926162958722,0.0315947382176683,0.0366592210177686,0.0480643201379994,0.0537304375378601,0.0242230534016491,0.0489078413689885
Weight_diff_p>|t|,3.782506654288595e-12,2.9807447661305164e-14,7.875024721724288e-17,7.95887538670645e-34,1.0093616327842857e-22,2.460843125254525e-15,0.0137792650735213,3.6256663875174193e-14,1.8956448089471975e-16,5.130119746299142e-23,5.7749577417813e-48,1.6916744952589932e-23,1.4732702440015325e-19,9.644606329601931e-25,1.2765450707995411e-26,7.665624633608528e-21,5.257702754447892e-16,2.254026445257293e-13,2.8528882485708035e-10,5.698064957205456e-24,3.269069969658894e-12
Unit_diff_coef,0.0,0.0,0.0,0.2977147536121677,0.0,0.0,0.9830764740336568,0.8931989338459071,0.7872772064099968,0.0,0.0,0.0,0.0,1.0027478301990775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unit_diff_std_err,0.0,0.0,0.0,0.0332350112729034,0.0,0.0,0.0037987797760615,0.0160202361166931,0.0246879077832191,0.0,0.0,0.0,0.0,0.0197971439791624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unit_diff_p>|t|,,,,1.9909368567478243e-09,,,7.019335779845567e-46,1.3687504985611967e-28,2.252970641167709e-22,,,,,1.6244895449947215e-27,,,,,,,
